파일명,보험코드,성공,보험기간,납입기간,가입나이,갱신,코드수
UW16932.pdf,16932,True,True,True,True,True,42
UW17027.pdf,17027,True,True,True,True,True,8
UW17037.pdf,17037,True,True,True,True,True,8
UW17147.pdf,17147,True,True,True,True,True,12
UW17153.pdf,17153,True,True,True,True,True,12
UW17212.pdf,17212,True,True,True,True,True,4
UW17215.pdf,17215,True,True,True,True,True,12
UW17232.pdf,17232,True,True,True,True,True,1
UW18108.pdf,18108,True,True,True,True,True,9
UW19771.pdf,19771,True,True,True,True,True,606
UW20307.pdf,20307,True,True,True,True,True,239
UW20908.pdf,20908,True,True,True,True,True,103
UW21121.pdf,21121,True,True,True,True,True,32
UW21140.pdf,21140,True,True,True,True,True,532
UW21239.pdf,21239,True,True,True,True,True,92
UW21385.pdf,21385,True,True,True,True,True,2838
UW21492.pdf,21492,True,True,True,True,True,2838
UW21619.pdf,21619,True,True,True,True,True,2820
UW21621.pdf,21621,True,True,True,True,True,12
UW21815.pdf,21815,True,True,True,True,True,2820
UW21819.pdf,21819,True,True,True,True,True,8
UW21828.pdf,21828,True,True,True,True,True,382
UW21843.pdf,21843,True,True,True,True,True,3
UW21867.pdf,21867,True,True,True,True,True,2820
UW21893.pdf,21893,True,True,True,True,True,2820
UW21929.pdf,21929,True,True,True,True,True,6
